rtt,cwnd
777,2.0
778,2.0
779,2.0
780,2.0
781,2.0
782,2.0
783,2.0
784,2.0
785,2.0
786,2.0
787,2.0
788,2.0
789,2.0
790,2.0
791,2.0
792,2.0
793,2.0
794,2.5
795,2.0
796,2.0
797,2.0
798,2.0
799,2.0
800,2.5
801,1.25
802,2.0
803,2.5
804,2.9
805,2.9
806,1.45
807,2.0
808,2.0
809,2.0
810,2.0
811,2.0
812,2.0
813,2.0
814,2.0
815,2.0
816,2.0
817,2.0
818,2.0
819,2.5
820,2.9
821,2.0
822,2.0
823,2.0
824,2.0
825,2.0
826,2.5
827,2.0
828,2.0
829,2.0
830,2.5
831,2.9
832,2.0
833,2.0
834,2.0
835,2.0
836,2.0
837,2.0
838,2.0
839,2.0
840,2.0
841,2.0
842,2.5
843,2.5
844,1.25
845,2.0
846,2.5
847,2.9
848,3.2448275862068963
849,2.0
850,2.0
851,2.0
852,2.0
853,2.0
854,2.0
855,2.5
856,2.9
857,2.9
858,1.45
859,2.139655172413793
860,1.0698275862068964
861,2.0
862,2.5
863,2.9
864,3.2448275862068963
865,2.0
866,2.0
867,2.0
868,2.0
869,2.0
870,2.5
871,2.0
872,2.0
873,2.0
874,2.0
875,2.0
876,2.5
877,2.0
878,2.0
879,2.0
880,2.0
881,2.0
882,2.0
883,2.0
884,2.0
885,2.0
886,2.0
887,2.0
888,2.0
889,2.0
890,2.0
891,2.0
892,2.5
893,2.9
894,3.2448275862068963
895,3.5530103704789475
896,3.5530103704789475
897,1.7765051852394738
898,2.0
899,2.5
900,2.9
901,2.0
902,2.0
903,2.0
904,2.0
905,2.5
906,2.9
907,3.2448275862068963
908,3.2448275862068963
909,2.0
910,2.0
911,2.0
912,2.0
913,2.0
914,2.0
915,2.5
916,2.5
917,1.25
918,2.05
919,2.5378048780487803
920,2.93184620433422
921,2.93184620433422
922,1.46592310216711
923,2.0
924,2.0
925,2.0
926,2.0
927,2.0
928,2.0
929,2.5
930,1.25
931,2.0
932,2.5
933,2.5
934,1.25
935,2.05
936,2.5378048780487803
937,1.2689024390243901
938,2.0
939,2.0
940,2.0
941,2.0
942,2.0
943,2.0
944,2.0
945,2.0
946,2.5
947,2.5
948,1.25
949,2.05
950,2.5378048780487803
951,2.93184620433422
952,3.272928215567168
953,3.5784650114075585
954,3.857914439252225
955,4.117121846711948
956,4.360009970316701
957,4.360009970316701
958,4.360009970316701
959,2.0
960,2.0
961,2.5
962,2.9
963,3.2448275862068963
964,2.0
965,2.0
966,2.0
967,2.0
968,2.0
969,2.0
970,2.5
971,2.5
972,1.25
973,2.0
974,2.0
975,2.0
976,2.5
977,2.9
978,3.2448275862068963
979,3.5530103704789475
980,3.5530103704789475
981,2.0
982,2.0
983,2.5
984,2.9
985,3.2448275862068963
986,3.2448275862068963
987,3.2448275862068963
988,1.6224137931034481
989,2.0
990,2.5
991,2.9
992,1.45
993,2.0
994,2.5
995,2.5
996,1.25
997,2.0
998,2.0
999,2.0
1000,2.0
1001,2.0
1002,2.0
1003,2.0
1004,2.0
1005,2.0
1006,2.0
1007,2.0
1008,2.0
1009,2.0
1010,2.0
1011,2.5
1012,2.0
1013,2.0
1014,2.0
1015,2.0
1016,2.5
1017,1.25
1018,2.0
1019,2.0
1020,2.0
1021,2.0
1022,2.0
1023,2.0
1024,2.0
